========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Otto Serge                     | 0            | 1            | 1S2WEX1RBJL1ebpEldMG4V
[X] Rafael Ricardo                 | 0            | 1            | 1S2WEX1RBJL1ebpEldMG4V
[X] Wolfine                        | 0            | 1            | 1Ft13La2daEGqz5yWJC7lx
[X] Totó La Momposina              | 0            | 1            | 6gyKkveHSPxKnZfSu0kYbQ
[X] Mauro Castillo                 | 0            | 2            | 1CTgLWnF5RVifJXxTDSiEJ, 3KOFm25dQCHhfMuEDNybKT
[X] Zepekeño El Lominero           | 0            | 1            | 5w9QfSM6iY9pPaxOj4ByT4
[X] El Pepo Show                   | 0            | 1            | 5w9QfSM6iY9pPaxOj4ByT4
[X] Buxxi                          | 0            | 1            | 5g2cx0mZFmCNp4GexaifFl
[X] Major Lazer                    | 0            | 1            | 1sviDBcAqVOxMXq4xITVEs
[X] Diplo                          | 0            | 1            | 1sviDBcAqVOxMXq4xITVEs
[X] Jorge Oñate                    | 0            | 1            | 1geLwtTJ0LTCwNA2cX8k9z
[X] Álvaro López                   | 0            | 1            | 1geLwtTJ0LTCwNA2cX8k9z
[X] Kaleth Morales                 | 0            | 3            | 6qvCE9WhoF57af6boMwaOz, 4tVCHHdULzG5acuwFmsRPw, 5GpzV7vCxkwdLloBSZg6Xg
[X] Andres Herrera                 | 0            | 1            | 6qvCE9WhoF57af6boMwaOz
[X] Black Eyed Peas                | 0            | 1            | 6cy3ki60hLwimwIje7tALf
[X] Anuel AA                       | 0            | 2            | 2ksOAxtIxY8yElEWw8RhgK, 3f5lA8nnc4YYF1qf78WpHw
[X] Tainy                          | 0            | 1            | 2TH65lNHgvLxCKXM3apjxI
[X] Héctor "El Father"             | 0            | 1            | 0AEVupnoNEKPU81AOuPwjS
[X] Andy Montañez                  | 0            | 1            | 07PF7Djp1Dmrin3X5fy8nA
[X] Guayacán Orquesta              | 0            | 2            | 1QariEMkM75ewzEb128t2C, 17Sfr3T1chYPGcmM4VlhCh
[X] Micro TDH                      | 0            | 1            | 059bcIhyc2SBwm6sw2AZzd
[X] Mau y Ricky                    | 0            | 1            | 0UQwlF2pRkr1lMN6kNNUj3
[X] Tego Calderón                  | 0            | 1            | 5YJ4BVvTFmVCxUyhKejHfR
[X] Los Fabulosos Cadillacs        | 0            | 1            | 4lq31N4E4eWqVMZv93sbhJ
[X] La Mosca                       | 0            | 1            | 19CmuECYssqkPWANF4nLWM
[X] Vilma Palma e Vampiros         | 0            | 1            | 1x6bkwDyWIOZNFY5blRSs1
[X] Dj Esli                        | 0            | 1            | 34inPy9EJX1LijFMKdpTs3
[X] Darek Sotelo                   | 0            | 1            | 34inPy9EJX1LijFMKdpTs3
[X] Yves Larock                    | 0            | 1            | 2YdX7PEziOImkySNDWsaKM
[X] Juank Ricardo                  | 0            | 1            | 5GpzV7vCxkwdLloBSZg6Xg
[X] Los Auténticos Decadentes      | 0            | 1            | 7aB1NvTLtOjrDrOc3CYMOi
